checked,sitename,city,lat,lon,scientificname,commonname,genus,cultivar,author,citation_year,treatment,date,time,month,year,raw_date,dateloc,trait,mean,units,n,statname,stat,notes,entity,method
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-14,Clifton-Brown,2002,Observational,1999 Nov 20 (Europe/Berlin),[time unspecified for yields],11,1999,1999-11-19 18:00:00 -0600,5,Ayield,10.3,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-14,Clifton-Brown,2002,Observational,2000 Feb 2 (Europe/Berlin),[time unspecified for yields],2,2000,2000-02-01 18:00:00 -0600,5,Ayield,9,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-15,Clifton-Brown,2002,Observational,2000 Feb 2 (Europe/Berlin),[time unspecified for yields],2,2000,2000-02-01 18:00:00 -0600,5,Ayield,6.9,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-04,Clifton-Brown,2002,NA,1997 Nov 11 (Europe/Berlin),[time unspecified for yields],11,1997,1997-11-10 18:00:00 -0600,5,Ayield,2.6,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-04,Clifton-Brown,2002,Observational,1998 Nov 23 (Europe/Berlin),[time unspecified for yields],11,1998,1998-11-22 18:00:00 -0600,5,Ayield,8,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-03,Clifton-Brown,2002,Observational,1999 Nov 20 (Europe/Berlin),[time unspecified for yields],11,1999,1999-11-19 18:00:00 -0600,5,Ayield,25.7,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-03,Clifton-Brown,2002,Observational,1998 Nov 23 (Europe/Berlin),[time unspecified for yields],11,1998,1998-11-22 18:00:00 -0600,5,Ayield,8.9,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-02,Clifton-Brown,2002,Observational,1998 Nov 23 (Europe/Berlin),[time unspecified for yields],11,1998,1998-11-22 18:00:00 -0600,5,Ayield,8.7,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-07,Clifton-Brown,2002,Observational,1999 Nov 20 (Europe/Berlin),[time unspecified for yields],11,1999,1999-11-19 18:00:00 -0600,5,Ayield,17.1,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-06,Clifton-Brown,2002,Observational,1999 Nov 20 (Europe/Berlin),[time unspecified for yields],11,1999,1999-11-19 18:00:00 -0600,5,Ayield,20,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-04,Clifton-Brown,2002,Observational,1999 Nov 20 (Europe/Berlin),[time unspecified for yields],11,1999,1999-11-19 18:00:00 -0600,5,Ayield,29.1,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-04,Clifton-Brown,2002,Observational,1998 Feb 15 (Europe/Berlin),[time unspecified for yields],2,1998,1998-02-14 18:00:00 -0600,5,Ayield,1.7,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-11,Clifton-Brown,2002,Observational,2000 Feb 2 (Europe/Berlin),[time unspecified for yields],2,2000,2000-02-01 18:00:00 -0600,5,Ayield,10.3,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-10,Clifton-Brown,2002,Observational,2000 Feb 2 (Europe/Berlin),[time unspecified for yields],2,2000,2000-02-01 18:00:00 -0600,5,Ayield,14.3,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-09,Clifton-Brown,2002,Observational,2000 Feb 2 (Europe/Berlin),[time unspecified for yields],2,2000,2000-02-01 18:00:00 -0600,5,Ayield,5.9,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-08,Clifton-Brown,2002,Observational,2000 Feb 2 (Europe/Berlin),[time unspecified for yields],2,2000,2000-02-01 18:00:00 -0600,5,Ayield,14.1,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-07,Clifton-Brown,2002,Observational,2000 Feb 2 (Europe/Berlin),[time unspecified for yields],2,2000,2000-02-01 18:00:00 -0600,5,Ayield,9.5,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-06,Clifton-Brown,2002,Observational,2000 Feb 2 (Europe/Berlin),[time unspecified for yields],2,2000,2000-02-01 18:00:00 -0600,5,Ayield,14.3,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-03,Clifton-Brown,2002,Observational,1998 Feb 15 (Europe/Berlin),[time unspecified for yields],2,1998,1998-02-14 18:00:00 -0600,5,Ayield,2,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-02,Clifton-Brown,2002,Observational,1998 Feb 15 (Europe/Berlin),[time unspecified for yields],2,1998,1998-02-14 18:00:00 -0600,5,Ayield,1.8,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-01,Clifton-Brown,2002,Observational,1998 Feb 15 (Europe/Berlin),[time unspecified for yields],2,1998,1998-02-14 18:00:00 -0600,5,Ayield,1.6,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-15,Clifton-Brown,2002,Observational,1997 Nov 11 (Europe/Berlin),[time unspecified for yields],11,1997,1997-11-10 18:00:00 -0600,5,Ayield,0.5,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-14,Clifton-Brown,2002,Observational,1997 Nov 11 (Europe/Berlin),[time unspecified for yields],11,1997,1997-11-10 18:00:00 -0600,5,Ayield,0.5,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-11,Clifton-Brown,2002,Observational,1997 Nov 11 (Europe/Berlin),[time unspecified for yields],11,1997,1997-11-10 18:00:00 -0600,5,Ayield,0.6,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-10,Clifton-Brown,2002,Observational,1997 Nov 11 (Europe/Berlin),[time unspecified for yields],11,1997,1997-11-10 18:00:00 -0600,5,Ayield,1.7,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-09,Clifton-Brown,2002,Observational,1997 Nov 11 (Europe/Berlin),[time unspecified for yields],11,1997,1997-11-10 18:00:00 -0600,5,Ayield,2.7,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-01,Clifton-Brown,2002,Observational,1999 Mar 1 (Europe/Berlin),[time unspecified for yields],3,1999,1999-02-28 18:00:00 -0600,5,Ayield,6.3,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-08,Clifton-Brown,2002,Observational,1997 Nov 11 (Europe/Berlin),[time unspecified for yields],11,1997,1997-11-10 18:00:00 -0600,5,Ayield,0.9,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-13,Clifton-Brown,2002,Observational,1997 Nov 11 (Europe/Berlin),[time unspecified for yields],11,1997,1997-11-10 18:00:00 -0600,5,Ayield,0.9,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-02,Clifton-Brown,2002,Observational,1999 Mar 1 (Europe/Berlin),[time unspecified for yields],3,1999,1999-02-28 18:00:00 -0600,5,Ayield,7.9,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-03,Clifton-Brown,2002,Observational,1999 Mar 1 (Europe/Berlin),[time unspecified for yields],3,1999,1999-02-28 18:00:00 -0600,5,Ayield,7.2,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-04,Clifton-Brown,2002,Observational,1999 Mar 1 (Europe/Berlin),[time unspecified for yields],3,1999,1999-02-28 18:00:00 -0600,5,Ayield,7.3,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-06,Clifton-Brown,2002,Observational,1999 Mar 1 (Europe/Berlin),[time unspecified for yields],3,1999,1999-02-28 18:00:00 -0600,5,Ayield,6.2,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-07,Clifton-Brown,2002,Observational,1999 Mar 1 (Europe/Berlin),[time unspecified for yields],3,1999,1999-02-28 18:00:00 -0600,5,Ayield,2.7,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-08,Clifton-Brown,2002,Observational,1999 Mar 1 (Europe/Berlin),[time unspecified for yields],3,1999,1999-02-28 18:00:00 -0600,5,Ayield,7.3,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-09,Clifton-Brown,2002,Observational,1999 Mar 1 (Europe/Berlin),[time unspecified for yields],3,1999,1999-02-28 18:00:00 -0600,5,Ayield,4.1,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-10,Clifton-Brown,2002,Observational,1999 Mar 1 (Europe/Berlin),[time unspecified for yields],3,1999,1999-02-28 18:00:00 -0600,5,Ayield,7.2,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-11,Clifton-Brown,2002,Observational,1999 Mar 1 (Europe/Berlin),[time unspecified for yields],3,1999,1999-02-28 18:00:00 -0600,5,Ayield,4.4,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-12,Clifton-Brown,2002,Observational,1999 Mar 1 (Europe/Berlin),[time unspecified for yields],3,1999,1999-02-28 18:00:00 -0600,5,Ayield,3.7,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-01,Clifton-Brown,2002,Observational,1999 Nov 20 (Europe/Berlin),[time unspecified for yields],11,1999,1999-11-19 18:00:00 -0600,5,Ayield,23,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-04,Clifton-Brown,2002,Observational,2000 Feb 2 (Europe/Berlin),[time unspecified for yields],2,2000,2000-02-01 18:00:00 -0600,5,Ayield,20.7,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-03,Clifton-Brown,2002,Observational,2000 Feb 2 (Europe/Berlin),[time unspecified for yields],2,2000,2000-02-01 18:00:00 -0600,5,Ayield,19.5,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-02,Clifton-Brown,2002,Observational,2000 Feb 2 (Europe/Berlin),[time unspecified for yields],2,2000,2000-02-01 18:00:00 -0600,5,Ayield,19.5,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-01,Clifton-Brown,2002,Observational,2000 Feb 2 (Europe/Berlin),[time unspecified for yields],2,2000,2000-02-01 18:00:00 -0600,5,Ayield,17.5,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-15,Clifton-Brown,2002,Observational,1999 Nov 20 (Europe/Berlin),[time unspecified for yields],11,1999,1999-11-19 18:00:00 -0600,5,Ayield,9.1,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-12,Clifton-Brown,2002,Observational,1997 Nov 11 (Europe/Berlin),[time unspecified for yields],11,1997,1997-11-10 18:00:00 -0600,5,Ayield,0.6,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-06,Clifton-Brown,2002,Observational,1997 Nov 11 (Europe/Berlin),[time unspecified for yields],11,1997,1997-11-10 18:00:00 -0600,5,Ayield,2.4,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-03,Clifton-Brown,2002,Observational,1997 Nov 11 (Europe/Berlin),[time unspecified for yields],11,1997,1997-11-10 18:00:00 -0600,5,Ayield,2.93,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-02,Clifton-Brown,2002,Observational,1997 Nov 11 (Europe/Berlin),[time unspecified for yields],11,1997,1997-11-10 18:00:00 -0600,5,Ayield,2.99,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-01,Clifton-Brown,2002,Observational,1997 Nov 11 (Europe/Berlin),[time unspecified for yields],11,1997,1997-11-10 18:00:00 -0600,5,Ayield,2.8,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-07,Clifton-Brown,2002,Observational,1997 Nov 11 (Europe/Berlin),[time unspecified for yields],11,1997,1997-11-10 18:00:00 -0600,5,Ayield,1,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-02,Clifton-Brown,2002,Observational,1999 Nov 20 (Europe/Berlin),[time unspecified for yields],11,1999,1999-11-19 18:00:00 -0600,5,Ayield,24.3,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-15,Clifton-Brown,2002,Observational,1998 Nov 23 (Europe/Berlin),[time unspecified for yields],11,1998,1998-11-22 18:00:00 -0600,5,Ayield,2.5,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-14,Clifton-Brown,2002,Observational,1998 Nov 23 (Europe/Berlin),[time unspecified for yields],11,1998,1998-11-22 18:00:00 -0600,5,Ayield,3.6,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-13,Clifton-Brown,2002,Observational,1998 Nov 23 (Europe/Berlin),[time unspecified for yields],11,1998,1998-11-22 18:00:00 -0600,5,Ayield,5,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-12,Clifton-Brown,2002,Observational,1998 Nov 23 (Europe/Berlin),[time unspecified for yields],11,1998,1998-11-22 18:00:00 -0600,5,Ayield,4.5,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-11,Clifton-Brown,2002,Observational,1998 Nov 23 (Europe/Berlin),[time unspecified for yields],11,1998,1998-11-22 18:00:00 -0600,5,Ayield,4.3,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-10,Clifton-Brown,2002,Observational,1998 Nov 23 (Europe/Berlin),[time unspecified for yields],11,1998,1998-11-22 18:00:00 -0600,5,Ayield,9.7,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-09,Clifton-Brown,2002,Observational,1998 Nov 23 (Europe/Berlin),[time unspecified for yields],11,1998,1998-11-22 18:00:00 -0600,5,Ayield,7.5,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-08,Clifton-Brown,2002,Observational,1998 Nov 23 (Europe/Berlin),[time unspecified for yields],11,1998,1998-11-22 18:00:00 -0600,5,Ayield,7.3,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-07,Clifton-Brown,2002,Observational,1998 Nov 23 (Europe/Berlin),[time unspecified for yields],11,1998,1998-11-22 18:00:00 -0600,5,Ayield,3.6,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-06,Clifton-Brown,2002,Observational,1998 Nov 23 (Europe/Berlin),[time unspecified for yields],11,1998,1998-11-22 18:00:00 -0600,5,Ayield,7.4,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-15,Clifton-Brown,2002,Observational,1998 Feb 15 (Europe/Berlin),[time unspecified for yields],2,1998,1998-02-14 18:00:00 -0600,5,Ayield,0.53,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,EMI-01,Clifton-Brown,2002,Observational,1998 Nov 23 (Europe/Berlin),[time unspecified for yields],11,1998,1998-11-22 18:00:00 -0600,5,Ayield,8,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-12,Clifton-Brown,2002,Observational,2000 Feb 2 (Europe/Berlin),[time unspecified for yields],2,2000,2000-02-01 18:00:00 -0600,5,Ayield,9.7,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
